Address	                                        Delegation    	Slash amount	Compensation
cosmos13eq3ddztv445973hpjdc9hh4vt0xjp2kugwgj2	150.004855	0.015000486	0.022500728
cosmos1klqu8hylt5trtv3yzcgy7g6mucdl4hhcwheqx5	150	0.015	0.0225
cosmos1e2sg6vs3zm5yc3vvfz7mw6u5p5ywgjk2hg5029	150	0.015	0.0225
cosmos1pqqg3ujjlezlq4a92j6h4qmjpdda2r0v290l74	149.985	0.0149985	0.02249775
cosmos19elagz5ck6klp3yfd5g0jxrczlegvmgd8r0ypy	149.985	0.0149985	0.02249775
cosmos1ceylhp9cel5j25kf46xwzxg022cnx5nx3nv5ux	149.63	0.014963	0.0224445
cosmos1d902vu4rr6jk69g5gncwjp6l6z946vyl9ymr8l	149	0.0149	0.02235
cosmos16vfva6eelrm6wrff52y47dxkxdq2euydgjwad0ym6l47g83sw43q2jpf9u	148.999999	0.0149	0.02235
cosmos1ldsl020n05qhgss9fmy7k8mnp7x8h00fr6x2jf	145.9	0.01459	0.021885
cosmos1t2t8uc9cktykl9hq39ue40pjhjx99qc4c2mgqt	145.726911	0.014572691	0.021859037
cosmos1ua3ax2ykkhhfc7plg2s6em09484ymq45r0wj6g	145.560407	0.014556041	0.021834061
cosmos1tfn9n6qgal2ewfzh4qcjhhhwljrqq4tupgrpw2	142.867372	0.014286737	0.021430106
cosmos12hg9fwu2hacynqez0vqchlu9k8efy9hew8hln7	137.636399	0.01376364	0.02064546
cosmos12gxe6nzwr2eucxgx7g22pxaapmvwtmd0akna0d	134.907799	0.01349078	0.02023617
cosmos13e4yw45xegtu2qr0ah0zfn3r24hm8u5ffa3zea	134.1	0.01341	0.020115
cosmos1qej7h76hy9xrdsse3df5q7vzvqr2xfvgu4f733	133.152689	0.013315269	0.019972903
cosmos198krlt4uc76n050p4f75c28wl3rtw53mpatepl	133.101591	0.013310159	0.019965239
cosmos1st3fng2vjcpz5lhg46un94zg0vn3nj658wc0chc57z29hx8zqeys6mvxdd	133.101237	0.013310124	0.019965186
cosmos1f6dg2muw0jee9xqhlftvjekzqkgtmdy09haten	133.011789	0.013301179	0.019951768
cosmos1u3kfx9ffqnapf0myc7kse5e403j4yrx4zk3fw4	132.555738	0.013255574	0.019883361
cosmos1z25uef9lxk54u77hy3ssv2erfhzh6jz8dt8wl0	131.476692	0.013147669	0.019721504
cosmos1yz3xpx5ewmgx5aax2hs8e2tljjp5zjgcnjjjjt	130.5	0.01305	0.019575
cosmos1vnydvjmjphnulfmc9x9gpjuwr873qwly6pccsk	128.49	0.012849	0.0192735
